,Processed,Project,baseline_window,cameraNoiseMat,dFF,dat_dir,mask,num_t_chunks,save_dir,singlePlane
0,True,CILDS,1000,/nrs/ahrens/ahrenslab/Ziqiang/gainMat/gainMat20180208,False,/nrs/ahrens/Yu/SPIM/active_dataset/backed_up/singleplane/20171015/fish2/20171015_2_6_hucgcamp_5dpf_wholebrainstack_plane20_8303_20171015_181024/raw/,40,1,/nrs/ahrens/Ziqiang/Yu_project/singleplane/20171015/fish2/20171015_2_6_hucgcamp_5dpf_wholebrainstack_plane20_8303_20171015_181024/,True
1,True,CILDS,1000,/nrs/ahrens/ahrenslab/Ziqiang/gainMat/gainMat20180208,False,/nrs/ahrens/Yu/SPIM/active_dataset/backed_up/singleplane/20171015/fish2/20171015_2_27_hucgcamp_5dpf_wholebrainstack_plane19_8309_20171016_001259/raw/,40,1,/nrs/ahrens/Ziqiang/Yu_project/singleplane/20171015/fish2/20171015_2_27_hucgcamp_5dpf_wholebrainstack_plane19_8309_20171016_001259/,True
2,True,CILDS,1000,/nrs/ahrens/ahrenslab/Ziqiang/gainMat/gainMat20180208,False,/nrs/ahrens/Yu/SPIM/active_dataset/backed_up/singleplane/20171015/fish2/20171015_2_13_hucgcamp_5dpf_wholebrainstack_plane14_8339_20171015_201341/raw/,40,1,/nrs/ahrens/Ziqiang/Yu_project/singleplane/20171015/fish2/20171015_2_13_hucgcamp_5dpf_wholebrainstack_plane14_8339_20171015_201341/,True
3,True,CILDS,1000,/nrs/ahrens/ahrenslab/Ziqiang/gainMat/gainMat20180208,False,/nrs/ahrens/Yu/SPIM/active_dataset/backed_up/singleplane/20171015/fish2/20171015_2_7_hucgcamp_5dpf_wholebrainstack_plane24_8285_20171015_182934/raw/,40,1,/nrs/ahrens/Ziqiang/Yu_project/singleplane/20171015/fish2/20171015_2_7_hucgcamp_5dpf_wholebrainstack_plane24_8285_20171015_182934/,True
4,True,CILDS,1000,/nrs/ahrens/ahrenslab/Ziqiang/gainMat/gainMat20180208,False,/nrs/ahrens/Yu/SPIM/active_dataset/backed_up/singleplane/20171015/fish2/20171015_2_16_hucgcamp_5dpf_wholebrainstack_plane21_8297_20171015_211017/raw/,40,1,/nrs/ahrens/Ziqiang/Yu_project/singleplane/20171015/fish2/20171015_2_16_hucgcamp_5dpf_wholebrainstack_plane21_8297_20171015_211017/,True
5,True,CILDS,1000,/nrs/ahrens/ahrenslab/Ziqiang/gainMat/gainMat20180208,False,/nrs/ahrens/Yu/SPIM/active_dataset/backed_up/singleplane/20171015/fish2/20171015_2_22_hucgcamp_5dpf_wholebrainstack_plane15_8333_20171015_225304/raw/,40,1,/nrs/ahrens/Ziqiang/Yu_project/singleplane/20171015/fish2/20171015_2_22_hucgcamp_5dpf_wholebrainstack_plane15_8333_20171015_225304/,True
6,True,CILDS,1000,/nrs/ahrens/ahrenslab/Ziqiang/gainMat/gainMat20180208,False,/nrs/ahrens/Yu/SPIM/active_dataset/backed_up/singleplane/20171015/fish2/20171015_2_5_hucgcamp_5dpf_wholebrainstack_plane16_8327_20171015_175426/raw/,40,1,/nrs/ahrens/Ziqiang/Yu_project/singleplane/20171015/fish2/20171015_2_5_hucgcamp_5dpf_wholebrainstack_plane16_8327_20171015_175426/,True
7,True,CILDS,1000,/nrs/ahrens/ahrenslab/Ziqiang/gainMat/gainMat20180208,False,/nrs/ahrens/Yu/SPIM/active_dataset/backed_up/singleplane/20171015/fish2/20171015_2_12_hucgcamp_5dpf_wholebrainstack_plane18_8315_20171015_195458/raw/,40,1,/nrs/ahrens/Ziqiang/Yu_project/singleplane/20171015/fish2/20171015_2_12_hucgcamp_5dpf_wholebrainstack_plane18_8315_20171015_195458/,True
8,True,CILDS,1000,/nrs/ahrens/ahrenslab/Ziqiang/gainMat/gainMat20180208,False,/nrs/ahrens/Yu/SPIM/active_dataset/backed_up/singleplane/20171015/fish2/20171015_2_24_hucgcamp_5dpf_wholebrainstack_plane22_8291_20171015_232220/raw/,40,1,/nrs/ahrens/Ziqiang/Yu_project/singleplane/20171015/fish2/20171015_2_24_hucgcamp_5dpf_wholebrainstack_plane22_8291_20171015_232220/,True
9,True,CILDS,1000,/nrs/ahrens/ahrenslab/Ziqiang/gainMat/gainMat20180208,False,/nrs/ahrens/Yu/SPIM/active_dataset/backed_up/singleplane/20171015/fish2/20171015_2_23_hucgcamp_5dpf_wholebrainstack_plane17_8321_20171015_230639/raw/,40,1,/nrs/ahrens/Ziqiang/Yu_project/singleplane/20171015/fish2/20171015_2_23_hucgcamp_5dpf_wholebrainstack_plane17_8321_20171015_230639/,True
